candidato,start_abs,start_rel,end_rel,cubre_donador,veredicto,bordes_anulados,clasificacion,donador_criptico,delta_donador,retencion_donador,aceptor_criptico,delta_aceptor,retencion_aceptor,donador_canonico_e3,delta_canonico,retencion_canonico
cand_5864,5864,-136,-116,False,sin_efecto,,sin_efecto,0.2199,-0.0249,0.8984,0.1023,-0.0428,0.7050,0.9291,-0.0073,0.9922
cand_5865,5865,-135,-115,False,sin_efecto,,sin_efecto,0.2197,-0.0251,0.8976,0.1325,-0.0126,0.9132,0.9234,-0.0130,0.9861
cand_5877,5877,-123,-103,False,anula_pseudoexon,aceptor,sin_efecto,0.0626,-0.1822,0.2557,0.0231,-0.1219,0.1595,0.9267,-0.0097,0.9896
cand_5878,5878,-122,-102,False,anula_pseudoexon,aceptor,sin_efecto,0.0613,-0.1835,0.2504,0.0129,-0.1321,0.0892,0.9260,-0.0104,0.9889
cand_5879,5879,-121,-101,False,anula_pseudoexon,donador+aceptor,bloquea,0.0443,-0.2005,0.1809,0.0046,-0.1405,0.0317,0.9249,-0.0115,0.9877
cand_5880,5880,-120,-100,False,anula_pseudoexon,donador+aceptor,bloquea,0.0401,-0.2047,0.1640,0.0059,-0.1392,0.0406,0.9250,-0.0115,0.9878
cand_5881,5881,-119,-99,False,anula_pseudoexon,donador+aceptor,bloquea,0.0402,-0.2046,0.1643,0.0093,-0.1358,0.0638,0.9260,-0.0105,0.9888
cand_5882,5882,-118,-98,False,anula_pseudoexon,donador+aceptor,bloquea,0.0443,-0.2005,0.1809,0.0013,-0.1437,0.0092,0.9220,-0.0145,0.9845
cand_5883,5883,-117,-97,False,anula_pseudoexon,aceptor,sin_efecto,0.0750,-0.1698,0.3065,0.0019,-0.1431,0.0134,0.9257,-0.0108,0.9885
cand_5942,5942,-58,-38,False,sin_efecto,,contraproducente,0.4375,+0.1927,1.7870,0.2018,+0.0567,1.3909,0.9373,+0.0008,1.0009
cand_5943,5943,-57,-37,False,sin_efecto,,contraproducente,0.3989,+0.1541,1.6294,0.1805,+0.0354,1.2440,0.9379,+0.0014,1.0015
cand_5992,5992,-8,12,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2448,0.0000,0.0083,-0.1368,0.0572,0.9410,+0.0045,1.0049
cand_5998,5998,-2,18,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2448,0.0000,0.0103,-0.1348,0.0708,0.9436,+0.0071,1.0076
cand_5999,5999,-1,19,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2448,0.0000,0.0056,-0.1394,0.0389,0.9428,+0.0063,1.0068
cand_6062,6062,62,82,False,sin_efecto,,sin_efecto,0.2770,+0.0322,1.1316,0.1496,+0.0045,1.0309,0.9470,+0.0106,1.0113
cand_6064,6064,64,84,False,sin_efecto,,sin_efecto,0.2716,+0.0268,1.1093,0.1492,+0.0041,1.0285,0.9491,+0.0126,1.0135
cand_6065,6065,65,85,False,sin_efecto,,sin_efecto,0.2699,+0.0251,1.1025,0.1544,+0.0093,1.0640,0.9498,+0.0134,1.0143
cand_6067,6067,67,87,False,sin_efecto,,sin_efecto,0.2577,+0.0129,1.0529,0.1333,-0.0118,0.9186,0.9429,+0.0064,1.0069
cand_6137,6137,137,157,False,sin_efecto,,sin_efecto,0.2210,-0.0238,0.9027,0.1325,-0.0126,0.9134,0.9312,-0.0053,0.9944
cand_6138,6138,138,158,False,sin_efecto,,sin_efecto,0.2374,-0.0074,0.9697,0.1392,-0.0058,0.9597,0.9329,-0.0035,0.9962
cand_6139,6139,139,159,False,sin_efecto,,sin_efecto,0.2424,-0.0024,0.9902,0.1407,-0.0044,0.9696,0.9319,-0.0046,0.9951
cand_6140,6140,140,160,False,sin_efecto,,sin_efecto,0.2438,-0.0010,0.9959,0.1383,-0.0067,0.9535,0.9323,-0.0041,0.9956
cand_6141,6141,141,161,False,sin_efecto,,sin_efecto,0.2426,-0.0022,0.9909,0.1339,-0.0112,0.9227,0.9333,-0.0032,0.9966
cand_6142,6142,142,162,False,sin_efecto,,sin_efecto,0.2461,+0.0013,1.0052,0.1401,-0.0050,0.9658,0.9344,-0.0021,0.9978
cand_6143,6143,143,163,False,sin_efecto,,sin_efecto,0.2369,-0.0080,0.9675,0.1406,-0.0045,0.9691,0.9334,-0.0031,0.9967
cand_6144,6144,144,164,False,sin_efecto,,sin_efecto,0.2390,-0.0058,0.9763,0.1314,-0.0137,0.9056,0.9347,-0.0018,0.9981
cand_6145,6145,145,165,False,sin_efecto,,sin_efecto,0.2479,+0.0031,1.0127,0.1360,-0.0091,0.9375,0.9361,-0.0004,0.9996
cand_6146,6146,146,166,False,sin_efecto,,sin_efecto,0.2497,+0.0049,1.0202,0.1396,-0.0055,0.9621,0.9374,+0.0009,1.0010
cand_6147,6147,147,167,False,sin_efecto,,sin_efecto,0.2548,+0.0100,1.0410,0.1383,-0.0068,0.9535,0.9388,+0.0024,1.0025
cand_6148,6148,148,168,False,sin_efecto,,sin_efecto,0.2569,+0.0121,1.0494,0.1408,-0.0043,0.9703,0.9378,+0.0014,1.0014
cand_6149,6149,149,169,False,sin_efecto,,sin_efecto,0.2591,+0.0143,1.0585,0.1425,-0.0026,0.9823,0.9387,+0.0022,1.0024
cand_6157,6157,157,177,False,sin_efecto,,sin_efecto,0.2644,+0.0195,1.0798,0.1497,+0.0046,1.0318,0.9450,+0.0086,1.0092
