candidato,start_abs,start_rel,end_rel,cubre_donador,veredicto,bordes_anulados,clasificacion,donador_criptico,delta_donador,retencion_donador,aceptor_criptico,delta_aceptor,retencion_aceptor,donador_canonico_e3,delta_canonico,retencion_canonico
cand_5865,5865,-135,-115,False,sin_efecto,,sin_efecto,0.2634,-0.0195,0.9310,0.1583,-0.0083,0.9504,0.5983,+0.0006,1.0011
cand_5877,5877,-123,-103,False,anula_pseudoexon,donador+aceptor,bloquea,0.0503,-0.2326,0.1778,0.0056,-0.1609,0.0337,0.6166,+0.0190,1.0317
cand_5878,5878,-122,-102,False,anula_pseudoexon,donador+aceptor,bloquea,0.0482,-0.2347,0.1702,0.0021,-0.1645,0.0126,0.6185,+0.0208,1.0349
cand_5879,5879,-121,-101,False,anula_pseudoexon,donador+aceptor,bloquea,0.0502,-0.2327,0.1776,0.0005,-0.1660,0.0033,0.6160,+0.0184,1.0307
cand_5880,5880,-120,-100,False,anula_pseudoexon,donador+aceptor,bloquea,0.0442,-0.2387,0.1562,0.0008,-0.1658,0.0045,0.6196,+0.0220,1.0368
cand_5881,5881,-119,-99,False,anula_pseudoexon,donador+aceptor,bloquea,0.0438,-0.2391,0.1548,0.0019,-0.1647,0.0114,0.6213,+0.0237,1.0396
cand_5882,5882,-118,-98,False,anula_pseudoexon,donador+aceptor,bloquea,0.0617,-0.2212,0.2181,0.0004,-0.1661,0.0026,0.6154,+0.0177,1.0297
cand_5883,5883,-117,-97,False,anula_pseudoexon,aceptor,sin_efecto,0.0999,-0.1830,0.3532,0.0011,-0.1655,0.0065,0.6122,+0.0146,1.0244
cand_5942,5942,-58,-38,False,sin_efecto,,contraproducente,0.4752,+0.1923,1.6799,0.2922,+0.1256,1.7541,0.5983,+0.0006,1.0011
cand_5943,5943,-57,-37,False,sin_efecto,,contraproducente,0.4549,+0.1720,1.6080,0.2711,+0.1046,1.6278,0.5969,-0.0007,0.9988
cand_5992,5992,-8,12,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2829,0.0000,0.0160,-0.1505,0.0962,0.6351,+0.0375,1.0628
cand_5998,5998,-2,18,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2829,0.0001,0.0122,-0.1544,0.0733,0.6374,+0.0398,1.0666
cand_5999,5999,-1,19,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.2829,0.0001,0.0101,-0.1565,0.0606,0.6395,+0.0419,1.0701
cand_6062,6062,62,82,False,sin_efecto,,sin_efecto,0.2694,-0.0135,0.9522,0.1615,-0.0051,0.9696,0.5947,-0.0029,0.9951
cand_6064,6064,64,84,False,sin_efecto,,sin_efecto,0.2646,-0.0183,0.9352,0.1578,-0.0087,0.9476,0.5956,-0.0020,0.9966
cand_6065,6065,65,85,False,sin_efecto,,sin_efecto,0.2652,-0.0177,0.9373,0.1617,-0.0049,0.9707,0.5927,-0.0049,0.9918
cand_6067,6067,67,87,False,sin_efecto,,sin_efecto,0.2617,-0.0212,0.9250,0.1568,-0.0097,0.9417,0.5941,-0.0036,0.9941
cand_6137,6137,137,157,False,sin_efecto,,sin_efecto,0.2374,-0.0455,0.8391,0.1417,-0.0248,0.8509,0.6082,+0.0106,1.0177
cand_6138,6138,138,158,False,sin_efecto,,sin_efecto,0.2539,-0.0290,0.8976,0.1516,-0.0150,0.9102,0.6043,+0.0066,1.0111
cand_6139,6139,139,159,False,sin_efecto,,sin_efecto,0.2570,-0.0259,0.9086,0.1541,-0.0125,0.9251,0.6032,+0.0055,1.0093
cand_6140,6140,140,160,False,sin_efecto,,sin_efecto,0.2700,-0.0129,0.9544,0.1603,-0.0062,0.9626,0.6072,+0.0095,1.0160
cand_6141,6141,141,161,False,sin_efecto,,sin_efecto,0.2705,-0.0124,0.9562,0.1587,-0.0078,0.9530,0.6085,+0.0109,1.0182
cand_6142,6142,142,162,False,sin_efecto,,sin_efecto,0.2776,-0.0053,0.9814,0.1633,-0.0032,0.9805,0.6114,+0.0138,1.0231
cand_6143,6143,143,163,False,sin_efecto,,sin_efecto,0.2703,-0.0126,0.9553,0.1594,-0.0071,0.9572,0.6087,+0.0111,1.0185
cand_6144,6144,144,164,False,sin_efecto,,sin_efecto,0.2580,-0.0249,0.9120,0.1533,-0.0133,0.9203,0.6058,+0.0081,1.0136
cand_6145,6145,145,165,False,sin_efecto,,sin_efecto,0.2667,-0.0162,0.9427,0.1576,-0.0089,0.9464,0.6060,+0.0084,1.0141
cand_6146,6146,146,166,False,sin_efecto,,sin_efecto,0.2679,-0.0150,0.9471,0.1590,-0.0076,0.9546,0.6096,+0.0120,1.0201
cand_6147,6147,147,167,False,sin_efecto,,sin_efecto,0.2736,-0.0093,0.9670,0.1630,-0.0035,0.9789,0.6092,+0.0116,1.0193
cand_6148,6148,148,168,False,sin_efecto,,sin_efecto,0.2804,-0.0025,0.9911,0.1679,+0.0013,1.0080,0.6095,+0.0119,1.0198
cand_6149,6149,149,169,False,sin_efecto,,sin_efecto,0.2814,-0.0015,0.9947,0.1690,+0.0025,1.0148,0.6102,+0.0126,1.0211
cand_6157,6157,157,177,False,sin_efecto,,sin_efecto,0.2859,+0.0030,1.0106,0.1715,+0.0050,1.0298,0.6019,+0.0043,1.0071
