candidato,start_rel,end_rel,severidad_off_target,tramo_contiguo_max,off_target_count,genes_distintos,tm,dg_hibridacion,dg_autoestructura,dg_homodimero,accesibilidad,accesibilidad_percentil,homodimero_percentil,termo_paso_filtro
cand_5999,-1,19,moderado,16,19,8,52.579,-38.8,-0.4,-5.5,0.0,2.6,11.7,True
cand_6017,17,37,sin_señal,11,11,6,51.435,-34.5,0.0,-4.5,0.0125,46.8,40.3,True
cand_6018,18,38,leve,15,14,9,51.435,-35.5,0.0,-1.5,0.0102,45.5,88.3,True
cand_6019,19,39,leve,15,14,8,50.048,-34.6,0.0,-0.6,0.0025,37.7,92.2,True
cand_6020,20,40,leve,15,27,10,50.164,-34.1,0.0,0.3,0.0021,35.1,94.8,True
cand_6021,21,41,leve,15,29,12,51.497,-34.0,0.0,0.3,0.0013,32.5,96.1,True
cand_6022,22,42,leve,15,23,9,54.019,-35.8,0.0,-1.7,0.0008,29.9,87.0,True
cand_6023,23,43,leve,15,22,8,51.177,-34.9,0.0,-2.1,0.0005,27.3,81.8,True
cand_6024,24,44,sin_señal,11,36,10,51.177,-34.0,0.0,-3.2,0.0004,26.0,64.9,True
cand_6062,62,82,leve,15,23,8,46.524,-35.7,-0.3,-3.5,0.0002,22.1,62.3,True
cand_6063,63,83,leve,15,20,6,47.768,-35.7,-0.1,-3.1,0.0002,19.5,66.2,True
cand_6064,64,84,leve,15,22,7,48.52,-36.7,0.0,-2.3,0.0002,15.6,75.3,True
cand_6065,65,85,moderado,16,11,7,46.302,-36.0,0.0,-2.3,0.0001,14.3,76.6,True
cand_6066,66,86,moderado,16,13,7,48.695,-36.0,0.0,-2.3,0.0001,10.4,77.9,True
cand_6067,67,87,moderado,16,15,7,47.54,-36.0,0.0,-2.2,0.0001,7.8,80.5,True
cand_6068,68,88,moderado,16,16,7,43.438,-33.9,-0.4,-3.0,0.0001,9.1,72.7,True
cand_6069,69,89,moderado,16,28,10,42.395,-32.5,-0.4,-3.0,0.0023,36.4,74.0,True
cand_6070,70,90,moderado,16,24,10,44.501,-32.4,-0.4,-3.1,0.0014,33.8,67.5,True
cand_6071,71,91,moderado,16,23,11,43.132,-32.4,-0.4,-3.1,0.0008,31.2,68.8,True
cand_6072,72,92,moderado,16,33,12,41.638,-31.8,-0.4,-3.1,0.0007,28.6,70.1,True
cand_6074,74,94,moderado,16,29,11,40.031,-31.8,0.0,-1.9,0.0041,44.2,83.1,True
cand_6137,137,157,moderado,17,32,11,44.16,-36.5,0.0,0.4,0.6679,100.0,97.4,True
cand_6138,138,158,moderado,16,41,13,43.13,-35.8,0.0,-3.8,0.5921,87.0,61.0,True
cand_6139,139,159,leve,15,64,16,44.323,-35.9,-1.9,-5.3,0.5928,88.3,19.5,True
cand_6140,140,160,leve,15,58,13,46.561,-36.7,-2.0,-5.5,0.5956,89.6,13.0,True
cand_6141,141,161,leve,15,54,14,48.192,-37.3,-2.0,-5.5,0.5969,90.9,14.3,True
cand_6142,142,162,leve,15,65,17,46.451,-36.7,-2.0,-5.5,0.5984,92.2,15.6,True
cand_6143,143,163,sin_señal,12,52,12,46.457,-35.2,-1.6,-4.7,0.601,94.8,37.7,True
cand_6144,144,164,sin_señal,12,31,11,42.539,-34.4,0.0,-4.0,0.6056,97.4,49.4,True
cand_6145,145,165,sin_señal,12,44,12,42.006,-33.1,0.0,-4.0,0.6052,96.1,50.6,True
cand_6146,146,166,sin_señal,12,48,11,44.411,-34.8,0.0,-4.0,0.6003,93.5,51.9,True
cand_6147,147,167,sin_señal,11,46,9,45.917,-35.5,0.0,-4.0,0.6077,98.7,53.2,True
cand_6148,148,168,sin_señal,11,49,13,47.78,-35.5,0.0,-4.0,0.5628,84.4,54.5,True
cand_6149,149,169,sin_señal,11,76,13,49.222,-36.2,-0.2,-4.0,0.5595,83.1,55.8,True
cand_6150,150,170,sin_señal,11,78,15,46.7,-34.5,-0.7,-4.2,0.5779,85.7,42.9,True
cand_6155,155,175,leve,15,15,8,44.59,-32.4,-1.6,-6.0,0.1959,81.8,0.0,True
cand_6156,156,176,leve,15,14,6,45.786,-34.2,-0.4,-5.2,0.1755,80.5,24.7,True
cand_6157,157,177,leve,15,15,8,44.554,-34.2,0.0,-3.9,0.1605,79.2,59.7,True
cand_6158,158,178,leve,15,10,6,42.261,-33.4,0.0,-5.9,0.1484,77.9,2.6,True
