candidato,start_abs,start_rel,end_rel,cubre_donador,veredicto,bordes_anulados,clasificacion,donador_criptico,delta_donador,retencion_donador,aceptor_criptico,delta_aceptor,retencion_aceptor,donador_canonico_e3,delta_canonico,retencion_canonico
cand_5843,5843,-157,-137,False,sin_efecto,,sin_efecto,0.5959,+0.0364,1.0650,0.3531,+0.0822,1.3035,0.9895,+0.0002,1.0002
cand_5844,5844,-156,-136,False,sin_efecto,,sin_efecto,0.5903,+0.0308,1.0550,0.3430,+0.0721,1.2663,0.9895,+0.0002,1.0002
cand_5856,5856,-144,-124,False,sin_efecto,,contraproducente,0.7116,+0.1521,1.2719,0.4247,+0.1538,1.5678,0.9893,+0.0001,1.0001
cand_5857,5857,-143,-123,False,sin_efecto,,contraproducente,0.7149,+0.1554,1.2777,0.4109,+0.1400,1.5170,0.9891,-0.0001,0.9999
cand_5858,5858,-142,-122,False,sin_efecto,,contraproducente,0.7091,+0.1496,1.2674,0.3939,+0.1230,1.4540,0.9891,-0.0001,0.9999
cand_5859,5859,-141,-121,False,sin_efecto,,contraproducente,0.7621,+0.2026,1.3622,0.4815,+0.2106,1.7774,0.9893,+0.0000,1.0000
cand_5860,5860,-140,-120,False,sin_efecto,,contraproducente,0.7694,+0.2099,1.3751,0.4957,+0.2248,1.8299,0.9894,+0.0002,1.0002
cand_5861,5861,-139,-119,False,sin_efecto,,sin_efecto,0.5579,-0.0016,0.9972,0.2131,-0.0578,0.7866,0.9893,+0.0000,1.0000
cand_5862,5862,-138,-118,False,sin_efecto,,sin_efecto,0.5633,+0.0038,1.0068,0.2434,-0.0275,0.8986,0.9893,+0.0000,1.0000
cand_5863,5863,-137,-117,False,sin_efecto,,sin_efecto,0.4982,-0.0613,0.8904,0.2082,-0.0627,0.7687,0.9895,+0.0002,1.0002
cand_5864,5864,-136,-116,False,sin_efecto,,sin_efecto,0.4998,-0.0597,0.8933,0.2106,-0.0603,0.7774,0.9896,+0.0003,1.0003
cand_5865,5865,-135,-115,False,sin_efecto,,sin_efecto,0.5489,-0.0106,0.9811,0.2809,+0.0100,1.0370,0.9894,+0.0002,1.0002
cand_5866,5866,-134,-114,False,sin_efecto,,sin_efecto,0.5178,-0.0417,0.9255,0.2411,-0.0298,0.8901,0.9894,+0.0002,1.0002
cand_5868,5868,-132,-112,False,sin_efecto,,sin_efecto,0.4069,-0.1526,0.7272,0.1122,-0.1587,0.4142,0.9896,+0.0003,1.0003
cand_5870,5870,-130,-110,False,sin_efecto,,sin_efecto,0.3481,-0.2114,0.6221,0.0749,-0.1960,0.2764,0.9898,+0.0005,1.0005
cand_5871,5871,-129,-109,False,anula_pseudoexon,aceptor,sin_efecto,0.3309,-0.2286,0.5914,0.0645,-0.2063,0.2382,0.9898,+0.0005,1.0006
cand_5876,5876,-124,-104,False,anula_pseudoexon,aceptor,sin_efecto,0.3009,-0.2586,0.5378,0.0066,-0.2643,0.0243,0.9900,+0.0007,1.0007
cand_5877,5877,-123,-103,False,anula_pseudoexon,aceptor,sin_efecto,0.3007,-0.2588,0.5375,0.0208,-0.2501,0.0769,0.9898,+0.0005,1.0005
cand_5878,5878,-122,-102,False,anula_pseudoexon,aceptor,sin_efecto,0.2959,-0.2636,0.5288,0.0122,-0.2587,0.0450,0.9899,+0.0007,1.0007
cand_5879,5879,-121,-101,False,anula_pseudoexon,aceptor,sin_efecto,0.2917,-0.2678,0.5214,0.0033,-0.2676,0.0123,0.9896,+0.0004,1.0004
cand_5880,5880,-120,-100,False,anula_pseudoexon,aceptor,sin_efecto,0.2805,-0.2790,0.5014,0.0057,-0.2652,0.0211,0.9900,+0.0007,1.0007
cand_5881,5881,-119,-99,False,anula_pseudoexon,aceptor,sin_efecto,0.2563,-0.3032,0.4581,0.0098,-0.2611,0.0362,0.9900,+0.0008,1.0008
cand_5882,5882,-118,-98,False,anula_pseudoexon,aceptor,sin_efecto,0.2978,-0.2617,0.5323,0.0024,-0.2684,0.0090,0.9897,+0.0004,1.0004
cand_5883,5883,-117,-97,False,anula_pseudoexon,aceptor,sin_efecto,0.3297,-0.2298,0.5893,0.0044,-0.2665,0.0163,0.9897,+0.0004,1.0004
cand_5942,5942,-58,-38,False,sin_efecto,,contraproducente,0.7620,+0.2025,1.3620,0.5258,+0.2549,1.9410,0.9892,-0.0001,0.9999
cand_5943,5943,-57,-37,False,sin_efecto,,contraproducente,0.7453,+0.1858,1.3322,0.4868,+0.2159,1.7972,0.9891,-0.0002,0.9998
cand_5992,5992,-8,12,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.5595,0.0000,0.0533,-0.2176,0.1966,0.9915,+0.0022,1.0022
cand_5998,5998,-2,18,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.5595,0.0000,0.0445,-0.2264,0.1644,0.9917,+0.0024,1.0024
cand_5999,5999,-1,19,True,anula_pseudoexon,donador+aceptor,bloquea,0.0000,-0.5595,0.0000,0.0354,-0.2355,0.1306,0.9917,+0.0025,1.0025
cand_6017,6017,17,37,False,sin_efecto,,contraproducente,0.7330,+0.1735,1.3100,0.4811,+0.2102,1.7760,0.9889,-0.0004,0.9996
cand_6018,6018,18,38,False,sin_efecto,,contraproducente,0.7260,+0.1665,1.2976,0.4671,+0.1962,1.7244,0.9891,-0.0002,0.9998
cand_6019,6019,19,39,False,sin_efecto,,contraproducente,0.7524,+0.1929,1.3447,0.4800,+0.2092,1.7721,0.9893,+0.0000,1.0000
cand_6020,6020,20,40,False,sin_efecto,,contraproducente,0.7492,+0.1897,1.3390,0.4971,+0.2262,1.8351,0.9891,-0.0001,0.9999
cand_6021,6021,21,41,False,sin_efecto,,contraproducente,0.7374,+0.1779,1.3179,0.4914,+0.2205,1.8141,0.9890,-0.0003,0.9997
cand_6022,6022,22,42,False,sin_efecto,,contraproducente,0.7818,+0.2223,1.3973,0.5339,+0.2630,1.9710,0.9892,-0.0001,0.9999
cand_6023,6023,23,43,False,sin_efecto,,contraproducente,0.7665,+0.2070,1.3700,0.4982,+0.2273,1.8392,0.9891,-0.0002,0.9998
cand_6024,6024,24,44,False,sin_efecto,,contraproducente,0.7231,+0.1636,1.2924,0.4511,+0.1802,1.6653,0.9891,-0.0001,0.9999
cand_6062,6062,62,82,False,sin_efecto,,contraproducente,0.6752,+0.1157,1.2068,0.3499,+0.0791,1.2918,0.9892,-0.0001,0.9999
cand_6063,6063,63,83,False,sin_efecto,,contraproducente,0.6775,+0.1180,1.2109,0.3410,+0.0701,1.2588,0.9895,+0.0002,1.0002
cand_6064,6064,64,84,False,sin_efecto,,contraproducente,0.6706,+0.1111,1.1986,0.3352,+0.0643,1.2373,0.9894,+0.0002,1.0002
cand_6065,6065,65,85,False,sin_efecto,,contraproducente,0.6762,+0.1167,1.2085,0.3460,+0.0751,1.2773,0.9894,+0.0001,1.0001
cand_6066,6066,66,86,False,sin_efecto,,sin_efecto,0.6364,+0.0769,1.1375,0.3185,+0.0477,1.1759,0.9891,-0.0002,0.9998
cand_6067,6067,67,87,False,sin_efecto,,sin_efecto,0.6291,+0.0696,1.1243,0.3138,+0.0430,1.1586,0.9894,+0.0001,1.0001
cand_6068,6068,68,88,False,sin_efecto,,sin_efecto,0.6313,+0.0718,1.1284,0.3038,+0.0329,1.1216,0.9895,+0.0002,1.0002
cand_6069,6069,69,89,False,sin_efecto,,sin_efecto,0.6261,+0.0666,1.1190,0.3054,+0.0345,1.1272,0.9896,+0.0003,1.0003
cand_6070,6070,70,90,False,sin_efecto,,sin_efecto,0.6124,+0.0529,1.0945,0.2943,+0.0234,1.0865,0.9894,+0.0002,1.0002
cand_6071,6071,71,91,False,sin_efecto,,sin_efecto,0.6389,+0.0794,1.1419,0.2983,+0.0274,1.1013,0.9895,+0.0003,1.0003
cand_6072,6072,72,92,False,sin_efecto,,sin_efecto,0.6426,+0.0831,1.1486,0.3093,+0.0384,1.1417,0.9895,+0.0002,1.0002
cand_6074,6074,74,94,False,sin_efecto,,sin_efecto,0.5839,+0.0244,1.0436,0.2758,+0.0049,1.0182,0.9896,+0.0003,1.0003
cand_6137,6137,137,157,False,sin_efecto,,sin_efecto,0.5351,-0.0244,0.9564,0.2516,-0.0193,0.9287,0.9896,+0.0003,1.0003
cand_6138,6138,138,158,False,sin_efecto,,sin_efecto,0.5500,-0.0095,0.9831,0.2596,-0.0113,0.9585,0.9897,+0.0004,1.0004
cand_6139,6139,139,159,False,sin_efecto,,sin_efecto,0.5558,-0.0037,0.9933,0.2634,-0.0075,0.9724,0.9896,+0.0003,1.0003
cand_6140,6140,140,160,False,sin_efecto,,sin_efecto,0.5619,+0.0024,1.0042,0.2659,-0.0050,0.9817,0.9897,+0.0004,1.0004
cand_6141,6141,141,161,False,sin_efecto,,sin_efecto,0.5490,-0.0105,0.9813,0.2598,-0.0111,0.9590,0.9895,+0.0002,1.0002
cand_6142,6142,142,162,False,sin_efecto,,sin_efecto,0.5505,-0.0090,0.9839,0.2604,-0.0105,0.9612,0.9897,+0.0004,1.0004
cand_6143,6143,143,163,False,sin_efecto,,sin_efecto,0.5539,-0.0056,0.9899,0.2619,-0.0090,0.9670,0.9896,+0.0004,1.0004
cand_6144,6144,144,164,False,sin_efecto,,sin_efecto,0.5349,-0.0246,0.9560,0.2593,-0.0116,0.9572,0.9893,+0.0000,1.0000
cand_6145,6145,145,165,False,sin_efecto,,sin_efecto,0.5615,+0.0020,1.0036,0.2682,-0.0027,0.9901,0.9894,+0.0001,1.0001
cand_6146,6146,146,166,False,sin_efecto,,sin_efecto,0.5445,-0.0150,0.9732,0.2626,-0.0083,0.9694,0.9891,-0.0001,0.9998
cand_6147,6147,147,167,False,sin_efecto,,sin_efecto,0.5588,-0.0007,0.9987,0.2760,+0.0052,1.0191,0.9896,+0.0003,1.0003
cand_6148,6148,148,168,False,sin_efecto,,sin_efecto,0.5737,+0.0142,1.0254,0.2812,+0.0103,1.0380,0.9898,+0.0005,1.0005
cand_6149,6149,149,169,False,sin_efecto,,sin_efecto,0.5835,+0.0240,1.0429,0.2845,+0.0136,1.0503,0.9899,+0.0006,1.0006
cand_6150,6150,150,170,False,sin_efecto,,sin_efecto,0.5971,+0.0376,1.0672,0.2956,+0.0247,1.0911,0.9899,+0.0007,1.0007
cand_6155,6155,155,175,False,sin_efecto,,sin_efecto,0.6031,+0.0436,1.0778,0.3059,+0.0351,1.1294,0.9902,+0.0009,1.0009
cand_6156,6156,156,176,False,sin_efecto,,sin_efecto,0.6088,+0.0493,1.0881,0.3081,+0.0372,1.1373,0.9903,+0.0010,1.0011
cand_6157,6157,157,177,False,sin_efecto,,sin_efecto,0.6021,+0.0426,1.0761,0.2953,+0.0245,1.0903,0.9900,+0.0007,1.0007
cand_6158,6158,158,178,False,sin_efecto,,sin_efecto,0.6037,+0.0442,1.0790,0.2984,+0.0275,1.1015,0.9900,+0.0008,1.0008
